question,page,short answer,long answer,ref_url,code_sample_url,picture_url
Jak dopisać custom metody do CustomRepo implements CrudRepository<> ?,,,"Trzeba zrobić abstract klase. Interface jak się zrobi, to hibernate próbuje nadpisać metody i jest lipa. Przykład w projekcie songmate.",https://stackoverflow.com/questions/22866473/how-to-implement-only-specific-method-of-crudrepository-in-spring,,
Czym jest JPA?,,,"JPA należy rozumieć, jako zbiór interfejsów, które muszą być zaimplementowane, aby przeprowadzać operacje na bazach danych z poziomu kodu Javy. JPA samo w sobie nie jest w stanie wykonywać operacji na bazach danych",https://it-leaders.com.pl/rozmowa-kwalifikacyjna-javy-zaden-problem-cz-viii-jpa/,,
Co to JPQL?,,,"To część specyfikacji JPA. Ma składnie podobną do SQL, ale to nie to samo.",https://www.tutorialspoint.com/jpa/jpa_jpql.htm,,https://it-leaders.com.pl/rozmowa-kwalifikacyjna-javy-zaden-problem-cz-viii-jpa/
RDBMS,,,Relational Database Management System,,,
JDBC Architecture,,,Two layers: JDBC API and JDBC Driver API:,https://www.tutorialspoint.com/jdbc/jdbc-introduction.htm,,https://www.tutorialspoint.com/jdbc/images/jdbc-architecture.jpg
JDBC API,,,application-to-JDBC Manager connection,https://www.tutorialspoint.com/jdbc/jdbc-introduction.htm,,
JDBC Driver API,,,JDBC Manager-to-Driver Connection,,,
Gdzie znajduje sie JDBC API?,,java.sql - Defines the JDBC API.,java.sql and javax.sql are the primary packages for JDBC 4.0. Javax to paczki z Javy EE. Od JDBC 3 javax.sql jest czescia paczki java.sql wiec wyjebongo. Nadal jest javax.sql zeby bylo backward compatibile,https://www.tutorialspoint.com/jdbc/jdbc-introduction.htm,,https://stackoverflow.com/questions/18212727/difference-between-javax-sql-and-java-sql
Co robi Driver Manager?,,Makes a connection with a driver,,https://docs.oracle.com/en/java/javase/15/docs/api/java.sql/java/sql/package-summary.html,,
Czy driver manager jest klasą?,,Tak,,https://docs.oracle.com/en/java/javase/15/docs/api/java.sql/java/sql/package-summary.html,,
Jaka jest obecnie najnowsza wersja JDBC?,,JDBC 4.3,,https://docs.oracle.com/en/java/javase/15/docs/api/java.sql/java/sql/package-summary.html,,
Z jakiego JDBC korzystam w pliku PostgresConf w songmacie?,,Spring-data-jdbc,"Jest specyfikacja JDBC dostepna w paczkach java.sql i javax.sql. Dodatkowo Spring ma chyba jakąś swoją implementacje JDBC. Zobacz jakie są paczki zaimportowane w pliku. -> import org.springframework.boot.jdbc.DataSourceBuilder; Czyli korzystam z Spring-data-jdbc.
",,,
Co to RDBMS?,,Relational Database Managed System,"Silniki baz danych np. HSQL Database Engine,MySQL,PostgreSQL",https://www.tutorialspoint.com/hibernate/hibernate_overview.htm,,
Czy Spring-Data JPA używa pod maską Hibernate?,,Z defaultu tak.,"JPA to tylko specyfikacja. Potrzebuje implementującego ją providera, żeby śmigało.",https://stackoverflow.com/questions/23862994/what-is-the-difference-between-hibernate-and-spring-data-jpa,,
Czy Spring-Data JPA to JPA?,,Nie.,,,,
Jaka jest różnica pomiędzy Spring-Data JPA a JPA?,,,,https://stackoverflow.com/questions/16148188/whats-the-difference-between-jpa-and-spring-data-jpa,,
Jaka jest przewaga JPA nad JDBC?,,,"W JDBC musimy sami swoje zapytania pisać. W JPA tworzy się komende findUserById(Long id) i implementacja w czasie kompilowania zamienia metodę na zapytania specyficzne dla danego vendora. Vendor jest określony wcześniej, stąd można to zrobić.",https://stackoverflow.com/questions/23862994/what-is-the-difference-between-hibernate-and-spring-data-jpa,,
Gdzie JPA sie nie sprawdzi?,,Przy złożonych zapytaniach.,"If you want to do something more than findById() or save, you must go through hell:",https://stackoverflow.com/questions/23862994/what-is-the-difference-between-hibernate-and-spring-data-jpa,,
Jak się używa JPQL i HQL? Gdzie co i po co?,,,,,,
Co to HQL?,,Hibernate Query Language,,,,
Co to JPA Criteria API?,,,,,,
How to switch prod db and dev db nicely? Using Spring's @Profiles?,,,,,,
Jaka jest najnowsza wersja Javy EE?,,Java EE 8,,,,
Częścią jakiej specyfikacji są adnotacje @Entity?,,Część specyfikacji JPA,,https://docs.oracle.com/javaee/7/tutorial/persistence-intro.htm#BNBPZ,,
W jakiej paczce znajduje sie JPA?,,javax.persistence,Zobacz opis paczki i klasy jakie się w niej znajdują,https://docs.oracle.com/javaee/7/api/javax/persistence/package-summary.html,,
Jakie są interfejsy w JPA?,,"Entity Manager, Entity Transaction, Query",,,,
Co implementują providerzy baz danych w JPA?,,Query interface.,,,,
Z jakich API korzysta Hibernate do łączenia z bazą danych?,,"JDBC, JTA, JNDI",,https://www.tutorialspoint.com/hibernate/hibernate_architecture.htm,,
Co to Criteria API?,,Chyba w JPA to jest. Pozwala filtrować to co zwraca nam baza.,,https://www.tutorialspoint.com/hibernate/hibernate_criteria_queries.htm,,
Co wstrzykujemy jak działamy z JPA?,,Entity Managera,,https://docs.spring.io/spring-framework/docs/current/reference/html/data-access.html#dao-annotations,,
Co wstrzykujemy jak działamy z JDBC?,,DataSource,,https://docs.spring.io/spring-framework/docs/current/reference/html/data-access.html#dao-annotations,,
Co wstrzykujemy jak działamy z Hibernate?,,SessionFactory,,https://docs.spring.io/spring-framework/docs/current/reference/html/data-access.html#dao-annotations,,
Jak można tworzyć dynamicznie klasy?,,Java Reflection,,https://www.baeldung.com/java-reflection,,
"Co to custom Implementations for Spring Data Repositories?
",,,"Jesli query jest zbyt zaawansowane i findByName() nie wystarczy, mozemy pisac swoje implementacje query. Musimy zrobic custom interface, custom interface Impl (musi byc ten postfix) i jak robimy ",https://docs.spring.io/spring-data/jdbc/docs/2.1.3/reference/html/#repositories.custom-implementations,,
Czy EnableJpaRepositories jest z defaultu włączane?,nie,bez tego hibernate nie wstrzyknie implementacji,,,,
Jak dziala EnableJpaRepositories? Jaki ma scope?,,,"Dajemy to przy klasie konfiguracyjnej oznaczonej jako @Configuration, zeby zadzialalo. Szuka beanow w tej paczce, w ktorej jest ta klasa konfiguracyjna. Jesli chcemy, zeby szukalo w innej paczce, to wskazujemy paczke w parametrze basePackages=""nazwa paczki""",,,
Is Hibernate persistence provider?,tak,"""Spring with JPA, using Hibernate as a persistence provider.""",,https://www.baeldung.com/the-persistence-layer-with-spring-and-jpa,,
Jak zainicjalizowac baze danych za pomoca jsona?,,zamiast data.sql mamy jsona,,https://www.baeldung.com/spring-data-jpa-repository-populators,,
Co ma Spring JPA czego nie ma Spring JDBC?,,,"It doesn't provide cache, lazy loading, write-behind, or many other features of JPA",https://www.baeldung.com/spring-data-jdbc-intro,,
Czy Spring JDBC wspiera derived queries?,,,Spring Data JDBC does not support derived queries. This means that we can't just write the method name and expect that Spring Data JDBC generates the query.,https://www.baeldung.com/spring-data-jdbc-intro,,
Jakie dwa API ma Hibernate?,,,"Native API hibernejta i api JPA. Hibernate jest starsze niz specyfikacja JPA, dlatego wczesniej napisano native API (przestarzale, raczej nie uzywac).",https://stackoverflow.com/questions/20820880/hibernate-native-vs-hibernate-jpa,,
Czym jest Hibernate względem JPA?,,Hibernate jest implementacją specyfikacji JPA.,,,,https://www.baeldung.com/persistence-with-spring-series
Czym jest problem Object-Relational Impedance Mismatch?,,,"To problemy z 5 rzeczami mapując model z relacyjnej bazy danych na model obiektowy w javie. Granularity, Subtypes, Identity, Associations, Data navigation",http://hibernate.org/orm/what-is-an-orm/,,https://www.baeldung.com/category/persistence/
"Czy Hibernate potrafi odtworzyc associacje, relacje, dziedziczenie miedzy obiektami?",,tak,"Hibernate enables you to develop persistent classes following natural Object-oriented idioms including inheritance, polymorphism, association, composition, and the Java collections framework.",http://hibernate.org/orm/,,
Dlaczego Hibernate > JDBC?,,Dużo technik optymalizacyjnych ma zaimplementowanych względem JDBC.,"lazy initialization, numerous fetching strategies and optimistic locking",http://hibernate.org/orm/,,
W jakiej paczce znajduje sie Hibernate?,,org.hibernate,,,,
Co robi classloader i jak?,,,,,,
Czy Hibernate korzysta z Java Reflection?,,tak,"""Hibernate needs to create objects for you, using Java Reflection. """,https://docs.jboss.org/hibernate/orm/5.4/quickstart/html_single/#_maven_repository_artifacts,,
Dlaczego na diagramie jpa-hibernate nie ma DataSource?,,,"Bo ono wystepuje w JDBC, zasila je. Hibernate/JPA dziala na JDBC prawdopodobnie(bo chyba moze na czyms innym), dlatego miedzy wierszami gdzies nizej bedzie JDBC razem z DataSource.",https://app.diagrams.net/#G1oKbmsWTWlvYbaCHN6ENENyKKIiog5npb,,
Jak Spring Data JPA rozni sie od JPA?,,,"Usuwa dużo boiler-plate'u, bo uzywamy adnotacji, zamiast sami ustawiac parametry",https://thorben-janssen.com/jpa-features-easier-spring-data-jpa/,,
Co to Spring JPA Projections?,,,"Jak nie zmieniamy danych, a tylko je odczytujemy to uzywajac DTO projections jest szybciej entity projections",https://thorben-janssen.com/jpa-features-easier-spring-data-jpa/,,
Jak sie robi pagination w JPA?,,,"Za pomocą interface'u Pageable, bardzo proste",https://thorben-janssen.com/jpa-features-easier-spring-data-jpa/,,
W czym pomagaja EntityGraphs z JPA?,,w Spring JPA jest o wiele prosciej/szybciej tego uzyc btw,Pomaga odtworzyc asocjacje obiejtu. Nie musimy robic oddzielnych query po klasy z asocjacji.,https://thorben-janssen.com/jpa-features-easier-spring-data-jpa/,,
Czy w Spring JPA mozna uzywac procedur/funkcji z bazy danych?,,tak,"tak i jest to jednoznaczne z uzyciem odnotacji @Procedure na metodzie, ez max",https://thorben-janssen.com/jpa-features-easier-spring-data-jpa/,,
Jaka jest autokonfiguracja sping security?,,,,https://docs.spring.io/spring-security/site/docs/5.4.2/reference/html5/#servlet-hello-auto-configuration,,
Co robi @Bean UserDetailsService?,,,"Tu są trzymane informacje o użytkownikach, przy czym korzysta się w autoryzacji i uwierzytelnieniu",,,user-details-service.png
Ile metod ma AuthenticationManager?,,1,Authentication authenticate(Authentication authentication) throws AuthenticationException;,,,
Czy AuthenticationManager jest interfejsem?,,tak,,https://spring.io/guides/topicals/spring-security-architecture,,
Do czego służy WWW-Authenticate i co to?,,,"To header, który wysyła server, żeby poinformować klienta jakie uwierzytelnienie jest zaimplementowane.",https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/WWW-Authenticate,,
Co oznacza kod 401 HTTP?,,Unauthorized,,https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/401,,
Co zwróci AuthenticationManager jak podamy invalid input?,,Zwróci AuthenticationException,Jak nie będzie mógł zadecydować zwróci null,https://spring.io/guides/topicals/spring-security-architecture,,
Co zwróci AuthenticationManager jak przejdziemy uwierzytelnienie?,,Authentication  object (normally with authenticated=true),,https://spring.io/guides/topicals/spring-security-architecture,,
Czym jest ProviderManager?,,Implementacją AuthenticationManagera,,https://spring.io/guides/topicals/spring-security-architecture,,
Co ma więcej AuthenticationProvider?,,Metodę supports().,"Pozwala ona klientowy sprawdzić, czy serwer wspiera żądaną metodę uwierzytelnienia",https://spring.io/guides/topicals/spring-security-architecture,,auth-provider.png
Czy AuthenticationProvider jest interfejsem?,,tak,,https://spring.io/guides/topicals/spring-security-architecture,,auth-provider.png
Co sie stanie jak wszystkie AuthenticationProvidery w chainie zwroca null?,,AuthenticationException ProviderManager rzuci,,https://spring.io/guides/topicals/spring-security-architecture,,
Co robi ProviderManager jak nie rozpoznaje metody uwierzylnienia?,,skippuje,,https://spring.io/guides/topicals/spring-security-architecture,,
Co zrobi ProviderManager jak wszystkie AuthenticationProvidery w chainie zwroca null?,,,"Oddeleguje do parenta decyzje, ktorym inicjalizowalismy w konstruktorze ProviderManagera",https://spring.io/guides/topicals/spring-security-architecture,,ProviderManager-parent.png
Co robi AuthenticationManagerBuilder?,,Szybki deploy AuthMangera,,https://spring.io/guides/topicals/spring-security-architecture,,
Są authManagery globalne i lokalne. Jak sie je tworzy?,,,"Globalnego sie wstrzykuje @Autowired, lokalnego @Override",https://spring.io/guides/topicals/spring-security-architecture,,authManagerLocalGlobal.png
Czym jest global AuthManager?,,Parentem z diagramu,,https://spring.io/guides/topicals/spring-security-architecture,,ProviderManager-parent.png
Co jest odpowiednikiem ProviderManagera i AuthProvidera w Access Controll?,,AccessDecisionManager i AccessDecisionVoter,AccessDecisionManager tak samo jak ProviderManager deleguje decyzje do chaina AccessDecisionVoterow,https://spring.io/guides/topicals/spring-security-architecture,,
Czy Filter jest interfejsem? Ile ma metod? Z jakiej jest paczki?,,"Interfejs, metoda doFilter() i jakies defailtowe, javax.servlet",,https://javaee.github.io/javaee-spec/javadocs/,,
Po co jest ConfigAtribute? Jakie ma metody i co robia? Czy to klasa?,,To interfejs z jedna metoda.,"Ma jedną metodę, która zwraca Stringa. W tym Stringu wrzucamy Role, ktore sa niezbedne, zeby dostac sie do resourcea, ktory jest broniony przez AccessDecisionVotera. Wykorzystuje sie ten interfejs w AccessDecisionManagerze i AccessDecisionVoterze",,,
Co to klasa AffirmativeBased?,,,"Rozszerza AccessDecisionManagera. Jesli jakis voter zwroci prawde, to dostep jest udzielany.",,,
"Jak przychodzi request do serwera ze spring sec, to ile FilterChainow bedzie maczalo w nim palce?",,"Tylko jeden. Pierwszy, którego URL sie zmaczuje.",,,,security-filters.png
Czy Spring Security miesci sie w jednym Filtrze?,,"tak, nie do konca czając == FilterChainProxy","""Spring Security is installed as a single Filter in the chain, and its concrete type is FilterChainProxy, for reasons that we cover soon.""",,,
Czy Filtry w Springu sa @Beanami?,,tak,""" the security filter is a @Bean in the ApplicationContext""",,,
Czy FilterChainProxy implementuje javax.servlet.Filter? Co sie w nim znajduje?,,"tak, całe spring security","""It is the FilterChainProxy that contains all the security logic arranged internally as a chain (or chains)""",,,
"Co trzeba zrobic, zeby stworzyc CustomFilter?",,Nie dajemy @Bean albo wrapujemy w FilterRegistrationBean,"The fact that all filters internal to Spring Security are unknown to the container is important, especially in a Spring Boot application, where, by default, all @Beans of type Filter are registered automatically with the container. So if you want to add a custom filter to the security chain, you need to either not make it be a @Bean or wrap it in a FilterRegistrationBean that explicitly disables the container registration.",,,
"Jest różnica jak czy chcemy zrobić Filtr dla wszystkich requestow, czy tylko dla okreslonych endpointow",,,Zwiazane z tym czy Filtr powinien byc @Beanem oznaczonym jako @Component czy nie,https://www.baeldung.com/spring-boot-add-filter,,
Co robi @EnableGlobalMethodSecurity(securedEnabled = true)?,,"Zabezpieczanie endpointów za pomocą adnotacji @Secured(""ROLE_ADMIN"")",,,,
Co pozytywnego wynika z Anonymous Authentication w Springu?,,,"W SecurityContextHolderze trzymany jest dzieki temu obiekt Authentication, a nie null. Dzieki temu nie będzie NullPointerException jak będziemy chcieli go użyć.",https://docs.spring.io/spring-security/site/docs/5.4.2/reference/html5/#anonymous,,
Po co jest Access-Control-Allow-Credentials header?,,,"Mówi, czy pozwala na wysyłanie w requestach ciasteczek z innych Originów, niż do tego,  z którym obecnie gadamy.",,,
"Dlaczego u Matta nie trzeba bylo robic @cross origin (allowCredentials = ""true""), zeby bylo wysylane JSESSION?",,,,https://developer.okta.com/blog/2018/07/19/simple-crud-react-and-spring-boot#fix-redirect-after-login-in-prod-profile,,
Jak zmapowac Authorities z oAuth2.0 providera?,,,,https://docs.spring.io/spring-security/site/docs/5.4.2/reference/html5/#oauth2login-advanced-map-authorities-grantedauthoritiesmapper,https://medium.com/@bvulaj/mapping-your-users-and-roles-with-spring-boot-oauth2-a7ac3bbe8e7f,
"Co robią @RegisteredOAuth2AuthorizedClient(""spotify"") OAuth2AuthorizedClient authorizedClient,
@AuthenticationPrincipal OAuth2User oauth2User i czym sie roznia?",,,,,,
,,,,,,
JUNIT,,,,,,
czego uzywa sie do odpalania testow w JUnit 5 i 4?,,,"In contrast to the competing Runner, TestRule, and MethodRule extension points in JUnit 4, the JUnit Jupiter extension model consists of a single, coherent concept: the Extension API. Note, however, that Extension itself is just a marker interface.",https://junit.org/junit5/docs/current/user-guide/#extensions,,
Jak zarejestrowac Extention? 3 Sposoby,,,"Extensions can be registered declaratively via @ExtendWith, programmatically via @RegisterExtension, or automatically via Java’s ServiceLoader mechanism.",,,